,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,zona,indice_rt
5460,2020-11-10,ITA,13,Abruzzo,42.35122196,13.39843823,530,46,576,9852,10428,556,746,4832,628,7882.0,8006.0,15888,323845,197902.0,,,,,,arancione,1.2655353522652033
5481,2020-11-11,ITA,13,Abruzzo,42.35122196,13.39843823,546,51,597,10353,10950,522,662,4956,644,8078.0,8472.0,16550,328068,199985.0,,,,,,arancione,1.3684352445821226
5502,2020-11-12,ITA,13,Abruzzo,42.35122196,13.39843823,547,52,599,10817,11416,466,541,5029,646,8236.0,8855.0,17091,330704,200964.0,,,,,,arancione,1.2937468567350872
5523,2020-11-13,ITA,13,Abruzzo,42.35122196,13.39843823,567,57,624,11284,11908,492,683,5205,661,8585.0,9189.0,17774,335473,203208.0,,,,,,arancione,1.2496920003479626
5544,2020-11-14,ITA,13,Abruzzo,42.35122196,13.39843823,545,59,604,12018,12622,714,939,5420,671,9457.0,9256.0,18713,340656,205812.0,,,,,,arancione,1.1926931971469443
5565,2020-11-15,ITA,13,Abruzzo,42.35122196,13.39843823,565,59,624,12410,13034,412,470,5469,679,9174.0,10008.0,19182,344353,207477.0,,,,,,arancione,1.1521921921530847
5586,2020-11-16,ITA,13,Abruzzo,42.35122196,13.39843823,571,59,630,12869,13499,465,642,5634,690,9249.0,10574.0,19823,347929,209407.0,,,,,,arancione,1.1542495286731567
5607,2020-11-17,ITA,13,Abruzzo,42.35122196,13.39843823,590,66,656,13352,14008,509,729,5841,703,9470.0,11082.0,20552,352882,211733.0,,,,,,arancione,1.131101997617167
5628,2020-11-18,ITA,13,Abruzzo,42.35122196,13.39843823,621,65,686,13704,14390,382,641,6091,712,9972.0,11221.0,21193,357482,213814.0,,,,,,arancione,1.010154480706233
5649,2020-11-19,ITA,13,Abruzzo,42.35122196,13.39843823,658,74,732,14130,14862,472,649,6259,721,9825.0,12017.0,21842,362295,215944.0,,,,,,arancione,1.022392452094236
5670,2020-11-20,ITA,13,Abruzzo,42.35122196,13.39843823,661,75,736,14642,15378,516,705,6430,739,10048.0,12499.0,22547,366943,218064.0,,,,,,arancione,1.016556897483286
5691,2020-11-21,ITA,13,Abruzzo,42.35122196,13.39843823,676,73,749,14848,15597,219,541,6717,774,10218.0,12870.0,23088,371339,219918.0,,,,,,arancione,0.969853434715306
5712,2020-11-22,ITA,13,Abruzzo,42.35122196,13.39843823,664,72,736,15395,16131,534,560,6731,786,10440.0,13208.0,23648,375917,221913.0,,,,,,rossa,0.9666974324155255
5733,2020-11-23,ITA,13,Abruzzo,42.35122196,13.39843823,672,71,743,15606,16349,218,640,7135,804,10650.0,13638.0,24288,380408,223871.0,,,,,,rossa,0.9515431282377013
5754,2020-11-24,ITA,13,Abruzzo,42.35122196,13.39843823,672,71,743,15913,16656,307,536,7344,822,10828.0,13994.0,24822,385071,225989.0,,,,,,rossa,0.9129541205089955
5775,2020-11-25,ITA,13,Abruzzo,42.35122196,13.39843823,676,72,748,16284,17032,376,623,7582,831,11396.0,14049.0,25445,389766,228016.0,,,,,,rossa,0.920878345306168
5796,2020-11-26,ITA,13,Abruzzo,42.35122196,13.39843823,694,74,768,16566,17334,302,570,7830,851,11607.0,14408.0,26015,394751,229937.0,,,,,,rossa,0.8966111451391422
5817,2020-11-27,ITA,13,Abruzzo,42.35122196,13.39843823,689,74,763,16797,17560,226,510,8097,868,11387.0,15138.0,26525,398946,231706.0,,,,,,rossa,0.8882041084390712
5838,2020-11-28,ITA,13,Abruzzo,42.35122196,13.39843823,680,77,757,17005,17762,202,532,8415,879,11819.0,15237.0,27056,403356,233698.0,,,,,,rossa,0.8666235926014877
5859,2020-11-29,ITA,13,Abruzzo,42.35122196,13.39843823,659,75,734,17306,18040,278,413,8543,886,11912.0,15557.0,27469,407501,235487.0,,,,,,rossa,0.821959412046943
5880,2020-11-30,ITA,13,Abruzzo,42.35122196,13.39843823,714,76,790,17402,18192,152,556,8939,893,18812.0,9212.0,28024,411685,237280.0,,,,,,rossa,0.7970254396838605
5901,2020-12-01,ITA,13,Abruzzo,42.35122196,13.39843823,697,76,773,17415,18188,-4,396,9326,906,14700.0,13720.0,28420,415586,238795.0,,,,,,rossa,0.7925065171760153
5922,2020-12-02,ITA,13,Abruzzo,42.35122196,13.39843823,703,74,777,17207,17984,-204,381,9890,927,14657.0,14144.0,28801,419970,240318.0,,,,,,rossa,0.7767107640386729
5943,2020-12-03,ITA,13,Abruzzo,42.35122196,13.39843823,698,76,774,17054,17828,-156,395,10428,940,0.0,0.0,29196,424370,241874.0,8.0,,,,,rossa,0.764955279628544
5964,2020-12-04,ITA,13,Abruzzo,42.35122196,13.39843823,700,73,773,17019,17792,-36,408,10857,955,,,29604,428610,243415.0,6.0,,,,,rossa,0.6663897568912743
5985,2020-12-05,ITA,13,Abruzzo,42.35122196,13.39843823,675,73,748,16499,17247,-545,376,11764,969,,,29980,433771,245073.0,3.0,,,,,rossa,0.6741659429644911
6006,2020-12-06,ITA,13,Abruzzo,42.35122196,13.39843823,667,71,738,16350,17088,-159,294,12206,980,,,30274,438472,246492.0,2.0,,,,,rossa,0.6706162849106939
6027,2020-12-07,ITA,13,Abruzzo,42.35122196,13.39843823,678,73,751,15890,16641,-447,124,12768,989,,,30398,440108,246934.0,5.0,,,,,rossa,0.6511760560010745
6048,2020-12-08,ITA,13,Abruzzo,42.35122196,13.39843823,658,69,727,15722,16449,-192,312,13267,994,,,30710,444065,248363.0,4.0,,,,,rossa,0.6439261654448355
6069,2020-12-09,ITA,13,Abruzzo,42.35122196,13.39843823,666,64,730,15591,16321,-128,264,13650,1003,,,30974,446996,249398.0,2.0,,,,,rossa,0.6537479306077868
6090,2020-12-10,ITA,13,Abruzzo,42.35122196,13.39843823,657,65,722,15269,15991,-330,227,14197,1013,,,31201,449788,250253.0,6.0,,,,,rossa,0.7206698951016893
6111,2020-12-11,ITA,13,Abruzzo,42.35122196,13.39843823,647,66,713,14786,15499,-492,262,14947,1017,,,31463,453936,251413.0,5.0,,,,,rossa,0.7699329453912197
6132,2020-12-12,ITA,13,Abruzzo,42.35122196,13.39843823,631,64,695,14449,15144,-355,277,15567,1029,,,31740,458795,252815.0,3.0,,,,,rossa,0.7088687310619365
6153,2020-12-13,ITA,13,Abruzzo,42.35122196,13.39843823,622,63,685,14624,15309,165,344,15737,1038,,,32084,463653,254435.0,4.0,,,,,arancione,0.7435682013294499
6174,2020-12-14,ITA,13,Abruzzo,42.35122196,13.39843823,630,64,694,14188,14882,-427,192,16336,1057,,,32275,465419,255064.0,7.0,,,,,arancione,0.788940407603798
6195,2020-12-15,ITA,13,Abruzzo,42.35122196,13.39843823,601,59,660,13807,14467,-415,100,16836,1072,,,32375,467336,255645.0,3.0,,,,,arancione,0.8056473577368005
6216,2020-12-16,ITA,13,Abruzzo,42.35122196,13.39843823,599,56,655,13331,13986,-481,257,17560,1084,,,32630,471645,257061.0,1.0,,,,,arancione,0.7743211521156651
6237,2020-12-17,ITA,13,Abruzzo,42.35122196,13.39843823,584,49,633,12792,13425,-561,246,18347,1102,,,32874,476211,258633.0,1.0,,,,,arancione,0.7456537850613171
6258,2020-12-18,ITA,13,Abruzzo,42.35122196,13.39843823,559,42,601,12574,13175,-250,227,18815,1111,,,33101,480066,259774.0,3.0,,,,,arancione,0.6943222813243988
6279,2020-12-19,ITA,13,Abruzzo,42.35122196,13.39843823,565,43,608,12332,12940,-235,156,19195,1120,,,33255,484055,260727.0,2.0,,,,,arancione,0.7022061706087019
6300,2020-12-20,ITA,13,Abruzzo,42.35122196,13.39843823,557,42,599,12441,13040,100,216,19307,1124,,,33471,488123,261905.0,4.0,,,,,arancione,0.7504725716561248
6321,2020-12-21,ITA,13,Abruzzo,42.35122196,13.39843823,555,43,598,12068,12666,-374,64,19739,1129,,,33534,489572,262333.0,4.0,,,,,arancione,0.78006409702692
6342,2020-12-22,ITA,13,Abruzzo,42.35122196,13.39843823,534,41,575,11673,12248,-418,86,20235,1137,,,33620,491911,263051.0,2.0,,,,,arancione,0.904309515007961
6363,2020-12-23,ITA,13,Abruzzo,42.35122196,13.39843823,506,39,545,11474,12019,-229,255,20705,1151,,,33875,496034,264021.0,2.0,,,,,arancione,0.8376966597076515
6384,2020-12-24,ITA,13,Abruzzo,42.35122196,13.39843823,491,35,526,11168,11694,-325,223,21248,1156,,,34098,501153,265272.0,2.0,,,,,rossa,0.7278251193865287
6405,2020-12-25,ITA,13,Abruzzo,42.35122196,13.39843823,435,34,469,11398,11867,173,339,21408,1162,,,34437,505462,266505.0,2.0,,,,,rossa,0.721133118339096
6426,2020-12-26,ITA,13,Abruzzo,42.35122196,13.39843823,429,36,465,11420,11885,18,34,21419,1167,,,34471,505748,266642.0,4.0,,,,,rossa,0.7062825948778902
6447,2020-12-27,ITA,13,Abruzzo,42.35122196,13.39843823,443,36,479,11337,11816,-69,25,21507,1173,,,34496,506082,266774.0,2.0,,,,,rossa,0.7994727045427762
6468,2020-12-28,ITA,13,Abruzzo,42.35122196,13.39843823,458,38,496,11049,11545,-271,41,21812,1176,,,34533,506661,267075.0,2.0,,,,,arancione,1.0884643746895384
6489,2020-12-29,ITA,13,Abruzzo,42.35122196,13.39843823,451,38,489,10783,11272,-273,47,22123,1185,,,34580,508059,267416.0,2.0,,,,,arancione,1.1890460180062996
6510,2020-12-30,ITA,13,Abruzzo,42.35122196,13.39843823,432,36,468,10568,11036,-236,278,22616,1206,,,34858,512111,268650.0,4.0,,,,,arancione,1.1825758374905977
6531,2020-12-31,ITA,13,Abruzzo,42.35122196,13.39843823,430,35,465,10608,11073,37,456,23028,1213,,,35314,516422,269992.0,3.0,,,,,rossa,1.3176827636318365
6552,2021-01-01,ITA,13,Abruzzo,42.35122196,13.39843823,435,38,473,10900,11373,300,410,23132,1218,,,35723,519874,270995.0,3.0,,,,,rossa,1.3730102268112392
6573,2021-01-02,ITA,13,Abruzzo,42.35122196,13.39843823,443,37,480,10771,11251,-122,23,23266,1229,,,35746,520091,271089.0,1.0,,,,,rossa,1.491759133330518
6594,2021-01-03,ITA,13,Abruzzo,42.35122196,13.39843823,445,41,486,10937,11423,172,207,23299,1231,,,35953,522168,271920.0,6.0,,,,,rossa,1.4862051570471362
6615,2021-01-04,ITA,13,Abruzzo,42.35122196,13.39843823,466,39,505,10700,11205,-218,121,23629,1240,,,36074,523233,272345.0,1.0,,,,,arancione,1.1939393903387785
6636,2021-01-05,ITA,13,Abruzzo,42.35122196,13.39843823,471,39,510,10584,11094,-111,213,23941,1252,,,36287,525626,273182.0,2.0,,,,,rossa,0.9498880344933622
6657,2021-01-06,ITA,13,Abruzzo,42.35122196,13.39843823,463,39,502,10829,11331,237,365,24066,1254,,,36651,529798,274632.0,4.0,,,,,rossa,1.2034538611796406
6678,2021-01-07,ITA,13,Abruzzo,42.35122196,13.39843823,478,36,514,10803,11317,-14,229,24298,1265,,,36880,532082,275385.0,1.0,,,,,gialla,1.2499029415647096
6699,2021-01-08,ITA,13,Abruzzo,42.35122196,13.39843823,480,36,516,10581,11097,-220,160,24672,1269,,,37038,534132,276020.0,3.0,,,,,gialla,1.2352034425351606
6720,2021-01-09,ITA,13,Abruzzo,42.35122196,13.39843823,463,40,503,10760,11263,166,400,24901,1274,,,37438,538731,277443.0,5.0,,,,,arancione,1.166528514234534
6741,2021-01-10,ITA,13,Abruzzo,42.35122196,13.39843823,465,41,506,11035,11541,278,315,24935,1277,,,37753,542413,278572.0,3.0,,,,,gialla,1.0939107490585191
6762,2021-01-11,ITA,13,Abruzzo,42.35122196,13.39843823,471,38,509,10871,11380,-161,120,25208,1285,,,37873,543730,278967.0,1.0,,,,,gialla,1.0913332193058705
6783,2021-01-12,ITA,13,Abruzzo,42.35122196,13.39843823,478,38,516,10621,11137,-243,152,25597,1291,,,38025,546247,279653.0,1.0,,,,,gialla,1.1336092436578387
6804,2021-01-13,ITA,13,Abruzzo,42.35122196,13.39843823,468,40,508,10708,11216,79,314,25823,1300,,,38339,550152,280892.0,5.0,,,,,gialla,0.9815331152364656
6825,2021-01-14,ITA,13,Abruzzo,42.35122196,13.39843823,453,40,493,10687,11180,-36,256,26105,1309,,,38594,554396,282109.0,4.0,,,,,gialla,0.9531517294973898
6846,2021-01-15,ITA,13,Abruzzo,42.35122196,13.39843823,443,41,484,10763,11247,67,240,26276,1311,,,38834,558267,283574.0,4.0,38834.0,0.0,557650.0,617.0,gialla,0.9448162046553515
6867,2021-01-16,ITA,13,Abruzzo,42.35122196,13.39843823,443,41,484,10802,11286,39,196,26427,1317,,,39030,562518,285216.0,2.0,39030.0,0.0,561255.0,1263.0,gialla,0.9260384967920557
6888,2021-01-17,ITA,13,Abruzzo,42.35122196,13.39843823,443,38,481,11071,11552,266,285,26438,1325,,,39315,566681,286824.0,2.0,39315.0,0.0,564891.0,1790.0,arancione,0.9157006758785128
6909,2021-01-18,ITA,13,Abruzzo,42.35122196,13.39843823,454,43,497,10885,11382,-170,107,26707,1333,,,39422,578709,294728.0,7.0,39422.0,0.0,571513.0,7196.0,arancione,0.9018593761507346
6930,2021-01-19,ITA,13,Abruzzo,42.35122196,13.39843823,443,44,487,10559,11046,-336,113,27147,1342,,,39535,582757,296475.0,2.0,39535.0,0.0,574255.0,8502.0,arancione,0.9667860164722006
6951,2021-01-20,ITA,13,Abruzzo,42.35122196,13.39843823,443,45,488,10499,10987,-59,279,27478,1349,,,39814,594245,302829.0,4.0,39814.0,0.0,578930.0,15315.0,arancione,0.992141260857535
6972,2021-01-21,ITA,13,Abruzzo,42.35122196,13.39843823,442,43,485,10175,10660,-327,212,28007,1358,,,40025,605038,309374.0,4.0,40025.0,0.0,583092.0,21946.0,arancione,1.0290706859160115
6993,2021-01-22,ITA,13,Abruzzo,42.35122196,13.39843823,441,40,481,10018,10499,-161,318,28469,1375,,,40343,614350,314649.0,4.0,40343.0,0.0,587203.0,27147.0,arancione,1.0079547001046654
7014,2021-01-23,ITA,13,Abruzzo,42.35122196,13.39843823,427,41,468,9943,10411,-88,221,28768,1385,,,40564,623624,319988.0,3.0,40564.0,0.0,591078.0,32546.0,arancione,1.034241585963395
7035,2021-01-24,ITA,13,Abruzzo,42.35122196,13.39843823,430,44,474,10180,10654,243,325,28842,1393,,,40889,636872,327969.0,4.0,40889.0,0.0,595778.0,41094.0,arancione,1.078904687974677
7056,2021-01-25,ITA,13,Abruzzo,42.35122196,13.39843823,426,44,470,9726,10196,-458,69,29341,1418,,,40955,643557,332337.0,1.0,40955.0,0.0,597578.0,45979.0,arancione,1.1097177885309886
7077,2021-01-26,ITA,13,Abruzzo,42.35122196,13.39843823,415,42,457,9590,10047,-149,152,29625,1435,,,41107,650534,336264.0,2.0,41107.0,0.0,600373.0,50161.0,arancione,1.1133626124308245
7098,2021-01-27,ITA,13,Abruzzo,42.35122196,13.39843823,402,40,442,9634,10076,29,344,29933,1441,,,41450,656886,338909.0,1.0,41450.0,0.0,604877.0,52009.0,arancione,1.203476467317554
7119,2021-01-28,ITA,13,Abruzzo,42.35122196,13.39843823,399,40,439,9627,10066,-10,268,30206,1446,,,41718,663071,341654.0,3.0,41718.0,0.0,608791.0,54280.0,arancione,1.2246909538670274
7140,2021-01-29,ITA,13,Abruzzo,42.35122196,13.39843823,389,40,429,9639,10068,2,343,30538,1453,,,42059,668154,343754.0,4.0,42059.0,0.0,612369.0,55785.0,arancione,1.2679092893623658
7161,2021-01-30,ITA,13,Abruzzo,42.35122196,13.39843823,389,43,432,9685,10117,49,385,30865,1462,,,42444,675378,346911.0,6.0,42444.0,0.0,617195.0,58183.0,arancione,1.2793017042274155
7182,2021-01-31,ITA,13,Abruzzo,42.35122196,13.39843823,383,46,429,10058,10487,370,402,30892,1467,,,42846,690016,356214.0,4.0,42846.0,0.0,621655.0,68361.0,arancione,1.2886913016527348
7203,2021-02-01,ITA,13,Abruzzo,42.35122196,13.39843823,401,47,448,9988,10436,-51,161,31101,1470,,,43007,700984,363861.0,4.0,43007.0,0.0,623041.0,77943.0,gialla,1.3826824024051991
7224,2021-02-02,ITA,13,Abruzzo,42.35122196,13.39843823,414,44,458,9604,10062,-374,210,31674,1478,,,43214,708915,367003.0,3.0,43214.0,0.0,627265.0,81650.0,gialla,1.2968153139759355
7245,2021-02-03,ITA,13,Abruzzo,42.35122196,13.39843823,427,47,474,9545,10019,-43,449,32162,1482,,,43663,714963,369985.0,4.0,43663.0,0.0,631601.0,83362.0,gialla,1.298082155000737
7266,2021-02-04,ITA,13,Abruzzo,42.35122196,13.39843823,452,47,499,9744,10243,224,526,32458,1488,,,44189,722445,373231.0,3.0,44189.0,0.0,636762.0,85683.0,gialla,1.2563940728270482
7287,2021-02-05,ITA,13,Abruzzo,42.35122196,13.39843823,453,48,501,9725,10226,-17,276,32740,1498,,,44464,728884,376247.0,5.0,44464.0,0.0,640431.0,88453.0,gialla,1.2474768814156543
7308,2021-02-06,ITA,13,Abruzzo,42.35122196,13.39843823,461,49,510,10042,10552,326,509,32918,1502,,,44972,736955,379823.0,4.0,44972.0,0.0,645388.0,91567.0,gialla,1.2362232829697035
7329,2021-02-07,ITA,13,Abruzzo,42.35122196,13.39843823,470,51,521,10455,10976,424,436,32919,1513,,,45408,750538,388039.0,7.0,45408.0,0.0,650144.0,100394.0,gialla,1.1312861236008493
7350,2021-02-08,ITA,13,Abruzzo,42.35122196,13.39843823,487,49,536,10418,10954,-22,184,33120,1518,,,45592,770149,402022.0,2.0,45592.0,0.0,651966.0,118183.0,gialla,1.0970953343144656
7371,2021-02-09,ITA,13,Abruzzo,42.35122196,13.39843823,491,51,542,10207,10749,-205,241,33558,1526,,,45833,777439,405665.0,5.0,45833.0,0.0,655028.0,122411.0,gialla,1.1153688597907394
7392,2021-02-10,ITA,13,Abruzzo,42.35122196,13.39843823,496,52,548,10259,10807,58,314,33807,1533,,,46147,789446,411903.0,5.0,46147.0,0.0,659398.0,130048.0,gialla,1.088238528116176
7413,2021-02-11,ITA,13,Abruzzo,42.35122196,13.39843823,502,53,555,10319,10874,67,540,34274,1538,,,46686,802736,418610.0,4.0,46686.0,0.0,664836.0,137900.0,gialla,0.9876095259032776
7434,2021-02-12,ITA,13,Abruzzo,42.35122196,13.39843823,507,53,560,10497,11057,183,357,34441,1545,,,47043,811199,422386.0,6.0,47043.0,0.0,668819.0,142380.0,gialla,1.123977869416672
7455,2021-02-13,ITA,13,Abruzzo,42.35122196,13.39843823,548,51,599,10834,11433,376,508,34558,1558,,,47549,821085,426759.0,2.0,47549.0,0.0,673573.0,147512.0,gialla,1.2168864893561349
7476,2021-02-14,ITA,13,Abruzzo,42.35122196,13.39843823,547,52,599,11049,11648,215,222,34560,1563,,,47771,828505,430322.0,3.0,47771.0,0.0,676780.0,151725.0,arancione,1.247153285430563
7497,2021-02-15,ITA,13,Abruzzo,42.35122196,13.39843823,537,57,594,11383,11977,329,533,34747,1575,,,48299,852876,444845.0,9.0,48299.0,0.0,680147.0,172729.0,arancione,1.1880605689459551
7518,2021-02-16,ITA,13,Abruzzo,42.35122196,13.39843823,535,64,599,11705,12304,327,493,34905,1582,,,48791,862998,448769.0,11.0,48791.0,0.0,685912.0,177086.0,arancione,1.214695371171921
7539,2021-02-17,ITA,13,Abruzzo,42.35122196,13.39843823,551,63,614,11593,12207,-97,438,35434,1588,,,49229,872817,452963.0,4.0,49229.0,0.0,690644.0,182173.0,arancione,1.1386770690570827
7560,2021-02-18,ITA,13,Abruzzo,42.35122196,13.39843823,552,70,622,11686,12308,101,482,35803,1599,,,49710,882711,457272.0,10.0,49710.0,0.0,695402.0,187309.0,arancione,1.2224271267728921
7581,2021-02-19,ITA,13,Abruzzo,42.35122196,13.39843823,546,73,619,11758,12377,69,494,36219,1608,,,50204,889920,459742.0,5.0,50204.0,0.0,700246.0,189674.0,arancione,1.1263764972949524
7602,2021-02-20,ITA,13,Abruzzo,42.35122196,13.39843823,567,75,642,11841,12483,106,387,36497,1610,,,50590,898728,463490.0,5.0,50590.0,0.0,704882.0,193846.0,arancione,1.0420083172312398
7623,2021-02-21,ITA,13,Abruzzo,42.35122196,13.39843823,586,76,662,12262,12924,441,503,36549,1620,,,51093,918825,473253.0,5.0,51093.0,0.0,709990.0,208835.0,arancione,1.0602548861740178
7644,2021-02-22,ITA,13,Abruzzo,42.35122196,13.39843823,593,76,669,12304,12973,49,351,36841,1628,,,51442,933593,480727.0,2.0,51442.0,0.0,712563.0,221030.0,arancione,1.1070057418201993
7665,2021-02-23,ITA,13,Abruzzo,42.35122196,13.39843823,595,78,673,12150,12823,-150,322,37289,1652,,,51764,942013,483666.0,12.0,51764.0,0.0,716644.0,225369.0,arancione,1.122667779138634
7686,2021-02-24,ITA,13,Abruzzo,42.35122196,13.39843823,617,76,693,12027,12720,-103,535,37917,1662,,,52299,953486,488386.0,7.0,52299.0,0.0,721745.0,231741.0,arancione,1.0995835375281067
7707,2021-02-25,ITA,13,Abruzzo,42.35122196,13.39843823,609,78,687,11948,12635,-85,653,38638,1678,,,52951,967052,493564.0,5.0,52951.0,0.0,727872.0,239180.0,arancione,1.1053952949774304
7728,2021-02-26,ITA,13,Abruzzo,42.35122196,13.39843823,614,74,688,12043,12731,96,594,39125,1689,,,53545,975981,496651.0,4.0,53545.0,0.0,733700.0,242281.0,arancione,1.048933494148937
7749,2021-02-27,ITA,13,Abruzzo,42.35122196,13.39843823,611,77,688,12035,12723,-8,355,39479,1698,,,53900,984691,499389.0,5.0,53900.0,0.0,738780.0,245911.0,arancione,1.018953026980828
7770,2021-02-28,ITA,13,Abruzzo,42.35122196,13.39843823,622,82,704,12540,13244,521,568,39523,1701,,,54468,1002799,506869.0,6.0,54468.0,0.0,745319.0,257480.0,arancione,1.0275930784538259
7791,2021-03-01,ITA,13,Abruzzo,42.35122196,13.39843823,633,81,714,12397,13111,-133,199,39844,1709,,,54664,1012623,511603.0,4.0,54664.0,0.0,748020.0,264603.0,arancione,0.9884755446874782
7812,2021-03-02,ITA,13,Abruzzo,42.35122196,13.39843823,634,85,719,12336,13055,-56,246,40135,1720,,,54910,1018678,513827.0,6.0,54910.0,0.0,751701.0,266977.0,arancione,0.9518819986296199
7833,2021-03-03,ITA,13,Abruzzo,42.35122196,13.39843823,638,82,720,12320,13040,-15,573,40708,1731,,,55479,1027262,516369.0,8.0,55479.0,0.0,758078.0,269184.0,arancione,0.9858610904109788
7854,2021-03-04,ITA,13,Abruzzo,42.35122196,13.39843823,651,85,736,12343,13079,39,552,41194,1758,,,56031,1035556,518758.0,5.0,56031.0,0.0,764420.0,271136.0,arancione,0.9859719491012597
7875,2021-03-05,ITA,13,Abruzzo,42.35122196,13.39843823,657,87,744,12372,13116,37,473,41621,1766,,,56503,1050587,523764.0,5.0,56503.0,0.0,769283.0,281304.0,arancione,1.0109390929708182
7896,2021-03-06,ITA,13,Abruzzo,42.35122196,13.39843823,631,86,717,12390,13107,-9,442,42046,1791,,,56944,1057893,525994.0,11.0,56944.0,0.0,774741.0,283152.0,arancione,0.993028879599219
7917,2021-03-07,ITA,13,Abruzzo,42.35122196,13.39843823,643,84,727,12838,13565,458,553,42131,1801,,,57497,1068599,529568.0,3.0,57497.0,0.0,781143.0,287456.0,arancione,0.9277354028164639
7938,2021-03-08,ITA,13,Abruzzo,42.35122196,13.39843823,665,84,749,12695,13444,-121,273,42510,1813,,,57767,1076297,531894.0,3.0,57767.0,0.0,784667.0,291630.0,arancione,0.9586490506024058
7959,2021-03-09,ITA,13,Abruzzo,42.35122196,13.39843823,672,87,759,12566,13325,-119,187,42804,1825,,,57954,1082318,533756.0,8.0,57954.0,0.0,788478.0,293840.0,arancione,0.9804433146391361
7980,2021-03-10,ITA,13,Abruzzo,42.35122196,13.39843823,669,87,756,12477,13233,-92,372,43255,1835,,,58323,1093461,536762.0,7.0,58323.0,0.0,794176.0,299285.0,arancione,0.9452848092596703
8001,2021-03-11,ITA,13,Abruzzo,42.35122196,13.39843823,661,91,752,12146,12898,-335,608,44161,1872,,,58931,1105217,539957.0,9.0,58931.0,0.0,800288.0,304929.0,arancione,0.8786090976481492
8022,2021-03-12,ITA,13,Abruzzo,42.35122196,13.39843823,652,92,744,12166,12910,12,515,44653,1883,,,59446,1112423,541838.0,11.0,59446.0,0.0,806124.0,306299.0,arancione,0.906323554419807
8043,2021-03-13,ITA,13,Abruzzo,42.35122196,13.39843823,649,94,743,11893,12636,-274,320,45235,1894,,,59765,1119402,543997.0,9.0,59765.0,0.0,811238.0,308164.0,arancione,0.9217495747612958
8064,2021-03-14,ITA,13,Abruzzo,42.35122196,13.39843823,673,93,766,12074,12840,204,323,45347,1901,,,60088,1128280,546436.0,4.0,60088.0,0.0,815631.0,312649.0,arancione,0.9103776667896446
8085,2021-03-15,ITA,13,Abruzzo,42.35122196,13.39843823,685,87,772,12034,12806,-34,329,45699,1911,,,60416,1136202,548134.0,4.0,60416.0,0.0,819142.0,317060.0,arancione,0.8770933132269487
8106,2021-03-16,ITA,13,Abruzzo,42.35122196,13.39843823,675,87,762,11610,12372,-434,212,46330,1924,,,60626,1142531,549987.0,7.0,60626.0,0.0,823246.0,319285.0,arancione,0.8640207671696819
8127,2021-03-17,ITA,13,Abruzzo,42.35122196,13.39843823,667,89,756,10922,11678,-694,304,47316,1934,,,60928,1151007,552013.0,6.0,60928.0,0.0,827693.0,323314.0,arancione,0.899631864644462
8148,2021-03-18,ITA,13,Abruzzo,42.35122196,13.39843823,667,89,756,10346,11102,-576,462,48342,1943,,,61387,1161077,554774.0,5.0,61387.0,0.0,833657.0,327420.0,arancione,0.9269018711773122
8169,2021-03-19,ITA,13,Abruzzo,42.35122196,13.39843823,672,88,760,10203,10963,-139,417,48868,1972,,,61803,1167634,556690.0,7.0,61803.0,0.0,838388.0,329246.0,arancione,0.8871522532898112
8190,2021-03-20,ITA,13,Abruzzo,42.35122196,13.39843823,668,83,751,10122,10873,-90,370,49292,2007,,,62172,1173952,558382.0,6.0,62172.0,0.0,843248.0,330704.0,arancione,0.8876439397791931
8211,2021-03-21,ITA,13,Abruzzo,42.35122196,13.39843823,671,85,756,10426,11182,309,353,49327,2016,,,62525,1181856,560309.0,4.0,62525.0,0.0,848771.0,333085.0,arancione,0.9143218653634302
8232,2021-03-22,ITA,13,Abruzzo,42.35122196,13.39843823,670,89,759,10309,11068,-114,190,49623,2023,,,62714,1186010,561173.0,7.0,62714.0,0.0,851555.0,334455.0,arancione,0.8727299437717445
8253,2021-03-23,ITA,13,Abruzzo,42.35122196,13.39843823,657,87,744,10151,10895,-173,188,49966,2041,,,62902,1191532,562696.0,2.0,62902.0,0.0,855392.0,336140.0,arancione,0.8868337463914909
8274,2021-03-24,ITA,13,Abruzzo,42.35122196,13.39843823,635,82,717,9934,10651,-244,329,50528,2052,,,63231,1201419,565014.0,5.0,63231.0,0.0,860682.0,340737.0,arancione,0.8964427055461768
8295,2021-03-25,ITA,13,Abruzzo,42.35122196,13.39843823,621,79,700,9787,10487,-164,310,50987,2067,,,63541,1210893,567262.0,3.0,63541.0,0.0,865675.0,345218.0,arancione,0.8783894037766594
8316,2021-03-26,ITA,13,Abruzzo,42.35122196,13.39843823,615,85,700,9750,10450,-37,392,51411,2072,,,63933,1217120,568934.0,7.0,63933.0,0.0,870304.0,346816.0,arancione,0.9060150112327504
